Sample,UniprotID,MistScore,GeneSymbol,UniprotEntryName
HA,P41250,0.95062,GARS,SYG_HUMAN
HA,P47755,0.95162,CAPZA2,CAZA2_HUMAN
HA,P47756-2,0.9091,CAPZB,CAPZB_HUMAN
HA,P48047,0.99397,ATP5O,ATPO_HUMAN
HA,P48444,0.96751,ARCN1,COPD_HUMAN
HA,P48643,0.93628,CCT5,TCPE_HUMAN
HA,P49368,0.9314,CCT3,TCPG_HUMAN
HA,P49721,0.994,PSMB2,PSB2_HUMAN
HA,P49755,0.994,TMED10,TMEDA_HUMAN
HA,P50454,0.97336,SERPINH1,SERPH_HUMAN
HA,P51148,0.93355,RAB5C,RAB5C_HUMAN
HA,P51153,0.99313,RAB13,RAB13_HUMAN
HA,P51648,0.90494,ALDH3A2,AL3A2_HUMAN
HA,P51665,0.95004,PSMD7,PSMD7_HUMAN
HA,P52907,0.951,CAPZA1,CAZA1_HUMAN
HA,P53007,0.99369,SLC25A1,TXTP_HUMAN
HA,P53621,0.91671,COPA,COPA_HUMAN
HA,P54886-2,0.98921,ALDH18A1,P5CS_HUMAN
HA,P55884,0.96993,EIF3B,EIF3B_HUMAN
HA,P60903,0.906,S100A10,S10AA_HUMAN
HA,P61020-2,0.9744,RAB5B,RAB5B_HUMAN
HA,P61026,0.98934,RAB10,RAB10_HUMAN
HA,P61160,0.98116,ACTR2,ARP2_HUMAN
HA,P61619,0.95735,SEC61A1,S61A1_HUMAN
HA,P62136,0.96532,PPP1CA,PP1A_HUMAN
HA,P62333,0.98177,PSMC6,PRS10_HUMAN
HA,P63104,0.94871,YWHAZ,1433Z_HUMAN
HA,P78527,0.96796,PRKDC,PRKDC_HUMAN
HA,P84077,0.98609,ARF1,ARF1_HUMAN
HA,P84085,0.98667,ARF5,ARF5_HUMAN
HA,P84090,0.99404,ERH,ERH_HUMAN
HA,P84095,0.96387,RHOG,RHOG_HUMAN
HA,Q01813,0.94387,PFKP,PFKAP_HUMAN
HA,Q03169,0.98396,TNFAIP2,TNAP2_HUMAN
HA,Q09666,0.9907,AHNAK,AHNK_HUMAN
HA,Q13015,0.93416,MLLT11,AF1Q_HUMAN
HA,Q13045,0.9889,FLII,FLII_HUMAN
HA,Q13509,0.98284,TUBB3,TBB3_HUMAN
HA,Q14126,0.96822,DSG2,DSG2_HUMAN
HA,Q14160-2,0.9938,SCRIB,SCRIB_HUMAN
HA,Q14204,0.95255,DYNC1H1,DYHC1_HUMAN
HA,Q14764,0.93374,MVP,MVP_HUMAN
HA,Q15008,0.99059,PSMD6,PSMD6_HUMAN
HA,Q15758,0.96412,SLC1A5,AAAT_HUMAN
HA,Q16531,0.99304,DDB1,DDB1_HUMAN
HA,Q27J81-2,0.96517,INF2,INF2_HUMAN
HA,Q2TB90,0.94893,HKDC1,HKDC1_HUMAN
HA,Q3ZCQ8,0.99364,TIMM50,TIM50_HUMAN
HA,Q5H9R7-3,0.97499,PPP6R3,PP6R3_HUMAN
HA,Q5T8N1,0.98492,NA,NA
HA,Q5VYK3,0.94245,ECM29,ECM29_HUMAN
HA,Q643R3,0.92791,LPCAT4,LPCT4_HUMAN
HA,Q6P1M0,0.98312,SLC27A4,S27A4_HUMAN
HA,Q6ZRP7,0.95582,QSOX2,QSOX2_HUMAN
HA,Q86SJ2,0.99394,AMIGO2,AMGO2_HUMAN
HA,Q8IXI1,0.99315,RHOT2,MIRO2_HUMAN
HA,Q8N163,0.9899,CCAR2,CCAR2_HUMAN
HA,Q8N1F7,0.97556,NUP93,NUP93_HUMAN
HA,Q8N2K0-3,0.9873,ABHD12,ABD12_HUMAN
HA,Q8N6M3,0.90404,FITM2,FITM2_HUMAN
HA,Q8NBQ5,0.9914,HSD17B11,DHB11_HUMAN
HA,Q8NF37,0.92361,LPCAT1,PCAT1_HUMAN
HA,Q8TBP6,0.96792,SLC25A40,S2540_HUMAN
HA,Q8WUY1,0.98862,THEM6,THEM6_HUMAN
HA,Q8WVX9,0.92902,FAR1,FACR1_HUMAN
HA,Q92598-2,0.98005,HSPH1,HS105_HUMAN
HA,Q92604,0.90318,LPGAT1,LGAT1_HUMAN
HA,Q96CS3,0.99145,FAF2,FAF2_HUMAN
HA,Q96EY1-2,0.97273,DNAJA3,DNJA3_HUMAN
HA,Q96JJ7,0.98406,TMX3,TMX3_HUMAN
HA,Q96T76-5,0.94713,MMS19,MMS19_HUMAN
HA,Q99470,0.95889,SDF2,SDF2_HUMAN
HA,Q99653,0.90079,CHP1,CHP1_HUMAN
HA,Q99832,0.92434,CCT7,TCPH_HUMAN
HA,Q9BPW8,0.97563,NIPSNAP1,NIPS1_HUMAN
HA,Q9BQA1,0.96569,WDR77,MEP50_HUMAN
HA,Q9BSD7,0.92794,NTPCR,NTPCR_HUMAN
HA,Q9BSJ8,0.98582,ESYT1,ESYT1_HUMAN
HA,Q9BUP3-3,0.94336,HTATIP2,HTAI2_HUMAN
HA,Q9C005,0.95832,DPY30,DPY30_HUMAN
HA,Q9H5Q4,0.99157,TFB2M,TFB2M_HUMAN
HA,Q9H9B4,0.98483,SFXN1,SFXN1_HUMAN
HA,Q9HBH0,0.92304,RHOF,RHOF_HUMAN
HA,Q9HCN8,0.92654,SDF2L1,SDF2L_HUMAN
HA,Q9NYL9,0.92818,TMOD3,TMOD3_HUMAN
HA,Q9NYU2-2,0.97757,UGGT1,UGGG1_HUMAN
HA,Q9NZ01,0.99397,TECR,TECR_HUMAN
HA,Q9P032,0.9927,NDUFAF4,NDUF4_HUMAN
HA,Q9P035,0.94006,PTPLAD1,HACD3_HUMAN
HA,Q9UBF2,0.91226,COPG2,COPG2_HUMAN
HA,Q9UBS4,0.90671,DNAJB11,DJB11_HUMAN
HA,Q9UBV2,0.98325,SEL1L,SE1L1_HUMAN
HA,Q9UG63,0.94773,ABCF2,ABCF2_HUMAN
HA,Q9UJS0,0.99346,SLC25A13,CMC2_HUMAN
HA,Q9UK22,0.97368,FBXO2,FBX2_HUMAN
HA,Q9UNM6,0.98644,PSMD13,PSD13_HUMAN
HA,Q9Y230,0.99006,RUVBL2,RUVB2_HUMAN
HA,Q9Y265,0.94912,RUVBL1,RUVB1_HUMAN
HA,Q9Y287,0.92388,ITM2B,ITM2B_HUMAN
HA,Q9Y2S7,0.97515,POLDIP2,PDIP2_HUMAN
HA,Q9Y305-3,0.99137,ACOT9,ACOT9_HUMAN
HA,Q9Y3L5,0.95859,RAP2C,RAP2C_HUMAN
HA,Q9Y4W6,0.92016,AFG3L2,AFG32_HUMAN
HA,Q9Y678,0.96182,COPG1,COPG1_HUMAN
HA,Q9Y6N5,0.91507,SQRDL,SQRD_HUMAN
M2,A6NJA2,0.92156,USP14,A6NJA2_HUMAN
M2,B4DGU4,0.95705,CTNNB1,B4DGU4_HUMAN
M2,B4DIT7,0.91299,,B4DIT7_HUMAN
M2,B4DJ10,0.98382,LARS,SYLC_HUMAN
M2,B4DJA5,0.91058,RAB5A,RAB5A_HUMAN
M2,B4DPJ8,0.95301,,B4DPJ8_HUMAN
M2,B4DZI8,0.93602,COPB2,COPB2_HUMAN
M2,B4E2W0,0.90718,HADHB,ECHB_HUMAN
M2,B5MEB7,0.97262,ATRIP,ATRIP_HUMAN
M2,CON_00712934.2,0.98957,NA,NA
M2,CON_IPI00311493.5,0.92098,NA,NA
M2,D6RFH4,0.91105,CYB5B,D6RFH4_HUMAN
M2,E5RHG8,0.95539,TCEB1,E5RHG8_HUMAN
M2,E5RHT6,0.96055,ARFGAP1,E5RHT6_HUMAN
M2,E7EU96,0.99178,CSNK2A1,E7EU96_HUMAN
M2,E9PC52,0.96735,RBBP7,E9PC52_HUMAN
M2,E9PDE8,0.99365,HSPA4L,E9PDE8_HUMAN
M2,E9PFH8,0.99323,NA,NA
M2,E9PH29,0.9856,PRDX3,PRDX3_HUMAN
M2,E9PLQ8,0.94566,NA,NA
M2,F5GX77,0.99398,TRMT112,F5GX77_HUMAN
M2,F5H0L8,0.98451,NA,NA
M2,F5H1E2,0.95486,MAP7,MAP7_HUMAN
M2,F5H5C2,0.98335,NA,NA
M2,F5H5G8,0.93841,NA,NA
M2,F5H5K9,0.95376,PNPLA6,PLPL6_HUMAN
M2,F5H648,0.96765,NA,NA
M2,F5H7U0,0.94915,NA,NA
M2,F5H897,0.93381,TRAP1,TRAP1_HUMAN
M2,F6RFD5,0.95582,DSTN,F6RFD5_HUMAN
M2,F6SBX2,0.97248,NA,NA
M2,F8VPD4,0.99369,CAD,F8VPD4_HUMAN
M2,F8VYE8,0.92194,PPP1CC,F8VYE8_HUMAN
M2,F8VZX2,0.99132,PCBP2,F8VZX2_HUMAN
M2,G3V2B8,0.9576,MTHFD1,C1TC_HUMAN
M2,G5E9A6,0.99351,USP11,G5E9A6_HUMAN
M2,H0Y4R1,0.9792,IMPDH2,H0Y4R1_HUMAN
M2,H7C3P6,0.94975,NUP98,H7C3P6_HUMAN
M2,J3KT10,0.9898,NUP85,J3KT10_HUMAN
M2,J3QT28,0.93133,BUB3,J3QT28_HUMAN
M2,K7EJR3,0.96901,PSMD8,K7EJR3_HUMAN
M2,K7ES69,0.98035,CNN2,K7ES69_HUMAN
M2,O00116,0.98129,AGPS,ADAS_HUMAN
M2,O00148,0.96575,DDX39A,DX39A_HUMAN
M2,O00159-2,0.99396,MYO1C,MYO1C_HUMAN
M2,O00231,0.98414,PSMD11,PSD11_HUMAN
M2,O00232,0.9766,PSMD12,PSD12_HUMAN
M2,O00483,0.95014,NDUFA4,NDUA4_HUMAN
M2,O00487,0.95352,PSMD14,PSDE_HUMAN
M2,O14967,0.95955,CLGN,CLGN_HUMAN
M2,O15084,0.91203,ANKRD28,ANR28_HUMAN
M2,O15091-4,0.99389,KIAA0391,MRRP3_HUMAN
M2,O15173,0.98936,PGRMC2,PGRC2_HUMAN
M2,O15228,0.93712,GNPAT,GNPAT_HUMAN
M2,O15269,0.9171,SPTLC1,SPTC1_HUMAN
M2,O15355,0.99107,PPM1G,PPM1G_HUMAN
M2,O15372,0.93033,EIF3H,EIF3H_HUMAN
M2,O43237,0.93838,DYNC1LI2,DC1L2_HUMAN
M2,O43242,0.99047,PSMD3,PSMD3_HUMAN
M2,O43795-2,0.99053,MYO1B,MYO1B_HUMAN
M2,O60218,0.90469,AKR1B10,AK1BA_HUMAN
M2,O60313,0.91951,OPA1,OPA1_HUMAN
M2,O60488-2,0.94309,ACSL4,ACSL4_HUMAN
M2,O75489,0.98961,NDUFS3,NDUS3_HUMAN
M2,O75643,0.97887,SNRNP200,U520_HUMAN
M2,O76003,0.9524,GLRX3,GLRX3_HUMAN
M2,O94906-2,0.99265,PRPF6,PRP6_HUMAN
M2,O95232,0.97588,LUC7L3,LC7L3_HUMAN
M2,O95433,0.99399,AHSA1,AHSA1_HUMAN
M2,O95470,0.99386,SGPL1,SGPL1_HUMAN
M2,O95573,0.93,ACSL3,ACSL3_HUMAN
M2,O95816,0.91836,BAG2,BAG2_HUMAN
M2,P00352,0.98562,ALDH1A1,AL1A1_HUMAN
M2,P00367,0.96065,GLUD1,DHE3_HUMAN
M2,P01111,0.99184,NRAS,RASN_HUMAN
M2,P04083,0.99127,ANXA1,ANXA1_HUMAN
M2,P04181,0.92079,OAT,OAT_HUMAN
M2,P04843,0.96686,RPN1,RPN1_HUMAN
M2,P05023-3,0.98876,ATP1A1,AT1A1_HUMAN
M2,P05091,0.97247,ALDH2,ALDH2_HUMAN
M2,P07237,0.96933,P4HB,PDIA1_HUMAN
M2,P07355,0.9482,ANXA2,ANXA2_HUMAN
M2,P08195-3,0.92023,SLC3A2,4F2_HUMAN
M2,P08237-2,0.96873,PFKM,PFKAM_HUMAN
M2,P08574,0.97802,CYC1,CY1_HUMAN
M2,P08729,0.92909,KRT7,K2C7_HUMAN
M2,P09382,0.96259,LGALS1,LEG1_HUMAN
M2,P0DI81,0.97312,TRAPPC2,TPC2A_HUMAN
M2,P10909-4,0.93053,CLU,CLUS_HUMAN
M2,P11177-2,0.97979,PDHB,ODPB_HUMAN
M2,P11216,0.96093,PYGB,PYGB_HUMAN
M2,P11940,0.96506,PABPC1,PABP1_HUMAN
M2,P12004,0.94173,PCNA,PCNA_HUMAN
M2,P12931,0.96116,SRC,SRC_HUMAN
M2,P14625,0.97652,HSP90B1,ENPL_HUMAN
M2,P14923,0.90457,JUP,PLAK_HUMAN
M2,P16615-2,0.92953,ATP2A2,AT2A2_HUMAN
M2,P17812,0.99217,CTPS1,PYRG1_HUMAN
M2,P21912,0.97011,SDHB,SDHB_HUMAN
M2,P22061,0.9499,PCMT1,PIMT_HUMAN
M2,P22102,0.9669,GART,PUR2_HUMAN
M2,P22314,0.97387,UBA1,UBA1_HUMAN
M2,P24752,0.98858,ACAT1,THIL_HUMAN
M2,P25205,0.98005,MCM3,MCM3_HUMAN
M2,P26641,0.98866,EEF1G,EF1G_HUMAN
M2,P30041,0.9832,PRDX6,PRDX6_HUMAN
M2,P30837,0.9888,ALDH1B1,AL1B1_HUMAN
M2,P31949,0.97372,S100A11,S10AB_HUMAN
M2,P33176,0.99264,KIF5B,KINH_HUMAN
M2,P33993,0.99375,MCM7,MCM7_HUMAN
M2,P34932,0.92183,HSPA4,HSP74_HUMAN
M2,P35221,0.99304,CTNNA1,CTNA1_HUMAN
M2,P35232,0.90552,PHB,PHB_HUMAN
M2,P35998,0.96917,PSMC2,PRS7_HUMAN
M2,P39019,0.9891,RPS19,RS19_HUMAN
M2,P41250,0.93165,GARS,SYG_HUMAN
M2,P42166,0.9857,TMPO,LAP2A_HUMAN
M2,P43246,0.95643,MSH2,MSH2_HUMAN
M2,P43686,0.9644,PSMC4,PRS6B_HUMAN
M2,P46781,0.92204,RPS9,RS9_HUMAN
M2,P47755,0.9937,CAPZA2,CAZA2_HUMAN
M2,P47756-2,0.97083,CAPZB,CAPZB_HUMAN
M2,P48553,0.99121,TRAPPC10,TPC10_HUMAN
M2,P48643,0.9653,CCT5,TCPE_HUMAN
M2,P49327,0.98056,FASN,FAS_HUMAN
M2,P49458,0.95897,SRP9,SRP09_HUMAN
M2,P50402,0.99399,EMD,EMD_HUMAN
M2,P50570-2,0.98991,DNM2,DYN2_HUMAN
M2,P51148,0.97455,RAB5C,RAB5C_HUMAN
M2,P51153,0.95705,RAB13,RAB13_HUMAN
M2,P51571,0.99125,SSR4,SSRD_HUMAN
M2,P51970,0.98963,NDUFA8,NDUA8_HUMAN
M2,P52701,0.98943,MSH6,MSH6_HUMAN
M2,P52907,0.98706,CAPZA1,CAZA1_HUMAN
M2,P53396-2,0.98393,ACLY,ACLY_HUMAN
M2,P53618,0.95121,COPB1,COPB_HUMAN
M2,P53621,0.97823,COPA,COPA_HUMAN
M2,P54136,0.93265,RARS,SYRC_HUMAN
M2,P55010,0.98918,EIF5,IF5_HUMAN
M2,P56537,0.96076,EIF6,IF6_HUMAN
M2,P56545,0.90592,CTBP2,CTBP2_HUMAN
M2,P57740,0.97784,NUP107,NU107_HUMAN
M2,P60228,0.93003,EIF3E,EIF3E_HUMAN
M2,P60842,0.97336,EIF4A1,IF4A1_HUMAN
M2,P60903,0.99361,S100A10,S10AA_HUMAN
M2,P60953,0.99326,CDC42,CDC42_HUMAN
M2,P61020-2,0.96524,RAB5B,RAB5B_HUMAN
M2,P61026,0.92635,RAB10,RAB10_HUMAN
M2,P61163,0.99007,ACTR1A,ACTZ_HUMAN
M2,P62081,0.95997,RPS7,RS7_HUMAN
M2,P62191,0.98373,PSMC1,PRS4_HUMAN
M2,P62195,0.96426,PSMC5,PRS8_HUMAN
M2,P62244,0.90687,RPS15A,RS15A_HUMAN
M2,P62826,0.99399,RAN,RAN_HUMAN
M2,P62861,0.98136,FAU,RS30_HUMAN
M2,P62873,0.96778,GNB1,GBB1_HUMAN
M2,P62879,0.98892,GNB2,GBB2_HUMAN
M2,P63000,0.94389,RAC1,RAC1_HUMAN
M2,P63104,0.98554,YWHAZ,1433Z_HUMAN
M2,P63151,0.95169,PPP2R2A,2ABA_HUMAN
M2,P63167,0.98917,DYNLL1,DYL1_HUMAN
M2,P63241,0.99035,EIF5A,IF5A1_HUMAN
M2,P63244,0.91512,GNB2L1,GBLP_HUMAN
M2,P84095,0.97687,RHOG,RHOG_HUMAN
M2,P98175-2,0.99038,RBM10,RBM10_HUMAN
M2,Q00535-2,0.9203,CDK5,CDK5_HUMAN
M2,Q00610-2,0.98103,CLTC,CLH1_HUMAN
M2,Q01813,0.97735,PFKP,PFKAP_HUMAN
M2,Q03169,0.91036,TNFAIP2,TNAP2_HUMAN
M2,Q04917,0.97081,YWHAH,1433F_HUMAN
M2,Q06210-2,0.98495,GFPT1,GFPT1_HUMAN
M2,Q09028-3,0.96867,RBBP4,RBBP4_HUMAN
M2,Q09666,0.97397,AHNAK,AHNK_HUMAN
M2,Q12769,0.96473,NUP160,NU160_HUMAN
M2,Q13049,0.99144,TRIM32,TRI32_HUMAN
M2,Q13148,0.96637,TARDBP,TADBP_HUMAN
M2,Q13200,0.99097,PSMD2,PSMD2_HUMAN
M2,Q13263,0.96627,TRIM28,TIF1B_HUMAN
M2,Q13509,0.9481,TUBB3,TBB3_HUMAN
M2,Q14004-2,0.90567,CDK13,CDK13_HUMAN
M2,Q14008-2,0.96981,CKAP5,CKAP5_HUMAN
M2,Q14160,0.92009,SCRIB,SCRIB_HUMAN
M2,Q14204,0.91334,DYNC1H1,DYHC1_HUMAN
M2,Q14318,0.97734,FKBP8,FKBP8_HUMAN
M2,Q14697,0.94284,GANAB,GANAB_HUMAN
M2,Q14764,0.93931,MVP,MVP_HUMAN
M2,Q15008,0.96927,PSMD6,PSMD6_HUMAN
M2,Q15029-2,0.99291,EFTUD2,U5S1_HUMAN
M2,Q15046,0.94104,KARS,SYK_HUMAN
M2,Q15149,0.90595,PLEC,PLEC_HUMAN
M2,Q15370,0.99162,TCEB2,ELOB_HUMAN
M2,Q16401-2,0.92771,PSMD5,PSMD5_HUMAN
M2,Q16531,0.98139,DDB1,DDB1_HUMAN
M2,Q16555-2,0.93846,DPYSL2,DPYL2_HUMAN
M2,Q2TB90,0.95054,HKDC1,HKDC1_HUMAN
M2,Q3ZCQ8,0.92774,TIMM50,TIM50_HUMAN
M2,Q53GQ0,0.90272,HSD17B12,DHB12_HUMAN
M2,Q5H9R7-3,0.97154,PPP6R3,PP6R3_HUMAN
M2,Q5SWX8,0.99317,ODR4,ODR4_HUMAN
M2,Q5T160,0.92113,RARS2,SYRM_HUMAN
M2,Q5T7A2,0.9908,,Q5T7A2_HUMAN
M2,Q5TB53,0.92456,TM9SF3,Q5TB53_HUMAN
M2,Q6P1M0,0.98468,SLC27A4,S27A4_HUMAN
M2,Q6P2E9-2,0.93129,EDC4,EDC4_HUMAN
M2,Q6UB35,0.97144,MTHFD1L,C1TM_HUMAN
M2,Q6ZRP7,0.98123,QSOX2,QSOX2_HUMAN
M2,Q70CQ2-3,0.95493,USP34,UBP34_HUMAN
M2,Q7Z2W4,0.97587,ZC3HAV1,ZCCHV_HUMAN
M2,Q7Z392-4,0.99294,TRAPPC11,TPC11_HUMAN
M2,Q7Z6Z7-2,0.99331,HUWE1,HUWE1_HUMAN
M2,Q86SZ2,0.99018,TRAPPC6B,TPC6B_HUMAN
M2,Q86U38,0.90282,NOP9,NOP9_HUMAN
M2,Q86UT6-2,0.99379,NLRX1,NLRX1_HUMAN
M2,Q86YV9,0.92305,HPS6,HPS6_HUMAN
M2,Q8IUR0,0.99187,TRAPPC5,TPPC5_HUMAN
M2,Q8IV08,0.9781,PLD3,PLD3_HUMAN
M2,Q8IWB1,0.95544,ITPRIP,IPRI_HUMAN
M2,Q8IXH7-4,0.98887,NELFCD,NELFD_HUMAN
M2,Q8IXI2-4,0.92853,RHOT1,MIRO1_HUMAN
M2,Q8IYU8,0.967,MICU2,MICU2_HUMAN
M2,Q8N163,0.96844,CCAR2,CCAR2_HUMAN
M2,Q8N5Z5-2,0.98469,KCTD17,KCD17_HUMAN
M2,Q8NBS9-2,0.99395,TXNDC5,TXND5_HUMAN
M2,Q8NE86-3,0.98339,MCU,MCU_HUMAN
M2,Q8NF37,0.99375,LPCAT1,PCAT1_HUMAN
M2,Q8NI27,0.99336,THOC2,THOC2_HUMAN
M2,Q8TEX9,0.93778,IPO4,IPO4_HUMAN
M2,Q8WUY1,0.9294,THEM6,THEM6_HUMAN
M2,Q92499,0.90689,DDX1,DDX1_HUMAN
M2,Q92621,0.90234,NUP205,NU205_HUMAN
M2,Q969Z0,0.94139,TBRG4,TBRG4_HUMAN
M2,Q96AD5,0.91463,PNPLA2,PLPL2_HUMAN
M2,Q96CS3,0.91147,FAF2,FAF2_HUMAN
M2,Q96EY1-2,0.95687,DNAJA3,DNJA3_HUMAN
M2,Q96JJ7,0.93494,TMX3,TMX3_HUMAN
M2,Q96Q05-3,0.96121,TRAPPC9,TPPC9_HUMAN
M2,Q99541,0.94356,PLIN2,PLIN2_HUMAN
M2,Q99653,0.94192,CHP1,CHP1_HUMAN
M2,Q9BPW8,0.98786,NIPSNAP1,NIPS1_HUMAN
M2,Q9BQ70,0.94091,TCF25,TCF25_HUMAN
M2,Q9BQA1,0.95575,WDR77,MEP50_HUMAN
M2,Q9BRK5-6,0.93748,SDF4,CAB45_HUMAN
M2,Q9BT22,0.90476,ALG1,ALG1_HUMAN
M2,Q9BZH6,0.96504,WDR11,WDR11_HUMAN
M2,Q9C005,0.98224,DPY30,DPY30_HUMAN
M2,Q9C0C2,0.95548,TNKS1BP1,TB182_HUMAN
M2,Q9H4A6,0.94164,GOLPH3,GOLP3_HUMAN
M2,Q9H4I3,0.98428,TRABD,TRABD_HUMAN
M2,Q9H5Q4,0.98843,TFB2M,TFB2M_HUMAN
M2,Q9H900-2,0.99061,ZWILCH,ZWILC_HUMAN
M2,Q9HBH0,0.99276,RHOF,RHOF_HUMAN
M2,Q9NP72,0.98351,RAB18,RAB18_HUMAN
M2,Q9NU22,0.92825,MDN1,MDN1_HUMAN
M2,Q9NVJ2,0.98264,ARL8B,ARL8B_HUMAN
M2,Q9NXV2,0.99147,KCTD5,KCTD5_HUMAN
