Bait,Prey,NumUniquePep,Length,Intensity,Name,IP,Isolation,Tag
GAG,P35527,4,623,473098,"K1C9_HUMAN Keratin, type I cytoskeletal 9",IP12,Elution,Flag
GAG,P36578,10,427,8287478,RL4_HUMAN 60S ribosomal protein L4,IP12,Elution,Flag
GAG,P39023,1,403,424389,RL3_HUMAN 60S ribosomal protein L3,IP12,Elution,Flag
GAG,P40429,3,203,348565,RL13A_HUMAN 60S ribosomal protein L13a,IP12,Elution,Flag
GAG,P46776,2,148,929100,RL27A_HUMAN 60S ribosomal protein L27a,IP12,Elution,Flag
GAG,P46777,5,297,2084807,RL5_HUMAN 60S ribosomal protein L5,IP12,Elution,Flag
GAG,P46778,1,160,95505,RL21_HUMAN 60S ribosomal protein L21,IP12,Elution,Flag
GAG,P46779,2,137,1276956,RL28_HUMAN 60S ribosomal protein L28,IP12,Elution,Flag
GAG,P47914,2,159,2570032,RL29_HUMAN 60S ribosomal protein L29,IP12,Elution,Flag
GAG,P49207,3,117,836114,RL34_HUMAN 60S ribosomal protein L34,IP12,Elution,Flag
GAG,P50914,4,213,1359005,RL14_HUMAN 60S ribosomal protein L14,IP12,Elution,Flag
GAG,P60866,3,119,2238509,RS20_HUMAN 40S ribosomal protein S20,IP12,Elution,Flag
GAG,P61247,2,264,526254,RS3A_HUMAN 40S ribosomal protein S3a,IP12,Elution,Flag
GAG,P61254,1,145,1201000,RL26_HUMAN 60S ribosomal protein L26,IP12,Elution,Flag
GAG,P61313,3,204,1093991,RL15_HUMAN 60S ribosomal protein L15,IP12,Elution,Flag
GAG,P61353,3,136,3989688,RL27_HUMAN 60S ribosomal protein L27,IP12,Elution,Flag
GAG,P62241,7,208,7915468,RS8_HUMAN 40S ribosomal protein S8,IP12,Elution,Flag
GAG,P62244,1,130,612456,RS15A_HUMAN 40S ribosomal protein S15a,IP12,Elution,Flag
GAG,P62263,5,151,1233838,RS14_HUMAN 40S ribosomal protein S14,IP12,Elution,Flag
GAG,P62266,4,143,1254782,RS23_HUMAN 40S ribosomal protein S23,IP12,Elution,Flag
GAG,P62273,1,56,201529,RS29_HUMAN 40S ribosomal protein S29,IP12,Elution,Flag
GAG,P62277,2,151,328575,RS13_HUMAN 40S ribosomal protein S13,IP12,Elution,Flag
GAG,P62280,6,158,3943880,RS11_HUMAN 40S ribosomal protein S11,IP12,Elution,Flag
GAG,P62424,7,266,6676372,RL7A_HUMAN 60S ribosomal protein L7a,IP12,Elution,Flag
GAG,P62701,3,263,2887133,"RS4X_HUMAN 40S ribosomal protein S4, X isoform",IP12,Elution,Flag
GAG,P62750,2,156,1175470,RL23A_HUMAN 60S ribosomal protein L23a,IP12,Elution,Flag
GAG,P62753,7,249,9177206,RS6_HUMAN 40S ribosomal protein S6,IP12,Elution,Flag
GAG,P62854,1,115,1839000,RS26_HUMAN 40S ribosomal protein S26,IP12,Elution,Flag
GAG,P62899,1,125,1268000,RL31_HUMAN 60S ribosomal protein L31,IP12,Elution,Flag
GAG,P62913,3,178,2297043,RL11_HUMAN 60S ribosomal protein L11,IP12,Elution,Flag
GAG,P62917,8,257,3194060,RL8_HUMAN 60S ribosomal protein L8,IP12,Elution,Flag
GAG,P62979,1,80,261980,RS27A_HUMAN 40S ribosomal protein S27a,IP12,Elution,Flag
GAG,P67809,3,324,195567,YBOX1_HUMAN Nuclease sensitive element-binding protein 1,IP12,Elution,Flag
GAG,P82650,1,360,129651,RT22_HUMAN Mitochondrial 28S ribosomal protein S22,IP12,Elution,Flag
GAG,P83731,8,157,13625856,RL24_HUMAN 60S ribosomal protein L24,IP12,Elution,Flag
GAG,P83881,2,106,4694000,RL36A_HUMAN 60S ribosomal protein L36a,IP12,Elution,Flag
GAG,P84098,6,196,2259218,RL19_HUMAN 60S ribosomal protein L19,IP12,Elution,Flag
GAG,Q00839,1,824,318491,HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U,IP12,Elution,Flag
GAG,Q02543,3,176,2758508,RL18A_HUMAN 60S ribosomal protein L18a,IP12,Elution,Flag
GAG,Q02878,4,288,9723152,RL6_HUMAN 60S ribosomal protein L6,IP12,Elution,Flag
GAG,Q15208,1,465,105201,STK38_HUMAN Serine/threonine-protein kinase 38,IP12,Elution,Flag
GAG,Q92522,1,213,4054,H1X_HUMAN Histone H1x,IP12,Elution,Flag
GAG,Q92734,1,400,175226,TFG_HUMAN Protein TFG,IP12,Elution,Flag
GAG,Q9BQA1,3,342,442710,MEP50_HUMAN Methylosome protein 50,IP12,Elution,Flag
GAG,Q9H3K6,4,86,650374,BOLA2_HUMAN BolA-like protein 2,IP12,Elution,Flag
GAG,Q9Y3U8,5,105,2014442,RL36_HUMAN 60S ribosomal protein L36,IP12,Elution,Flag
GAG,19172948,14,232,46735353,NP_579880 Capsid p24_HIV-1,IP12,Elution,Flag
GAG,19172951,1,53,18340000,NP_579883 p6_HIV-1,IP12,Elution,Flag
GAG,28876542,7,132,9800874,NP_579876 Matrix p17_HIV-1,IP12,Elution,Flag
GAG,O14744,7,637,5315564,ANM5_HUMAN Protein arginine N-methyltransferase 5,IP12,Elution,Flag
GAG,O43318,1,606,37243,M3K7_HUMAN Mitogen-activated protein kinase kinase kinase 7,IP12,Elution,Flag
GAG,O75688,9,479,8596471,PPM1B_HUMAN Protein phosphatase 1B,IP12,Elution,Flag
GAG,P01614,1,115,111300,KV201_HUMAN Ig kappa chain V-II region Cum,IP12,Elution,Flag
GAG,P02768,1,609,355548,ALBU_HUMAN Serum albumin precursor,IP12,Elution,Flag
GAG,P04264,4,644,177016,"K2C1_HUMAN Keratin, type II cytoskeletal 1",IP12,Elution,Flag
GAG,P05386,2,114,3823190,RLA1_HUMAN 60S acidic ribosomal protein P1,IP12,Elution,Flag
GAG,P05387,2,115,553904,RLA2_HUMAN 60S acidic ribosomal protein P2,IP12,Elution,Flag
GAG,P05388,4,317,824045,RLA0_HUMAN 60S acidic ribosomal protein P0,IP12,Elution,Flag
GAG,P06748,6,294,1724590,NPM_HUMAN Nucleophosmin,IP12,Elution,Flag
GAG,P08107,8,641,2198256,HSP71_HUMAN Heat shock 70 kDa protein 1,IP12,Elution,Flag
GAG,P11021,11,654,2257530,GRP78_HUMAN 78 kDa glucose-regulated protein precursor,IP12,Elution,Flag
GAG,P11142,10,646,2604261,HSP7C_HUMAN Heat shock cognate 71 kDa protein,IP12,Elution,Flag
GAG,P15880,2,293,356489,RS2_HUMAN 40S ribosomal protein S2,IP12,Elution,Flag
GAG,P22090,1,263,34501,"RS4Y1_HUMAN 40S ribosomal protein S4, Y isoform 1",IP12,Elution,Flag
GAG,P23588,2,611,1147366,IF4B_HUMAN Eukaryotic translation initiation factor 4B,IP12,Elution,Flag
GAG,P25398,4,132,968157,RS12_HUMAN 40S ribosomal protein S12,IP12,Elution,Flag
GAG,P26373,1,211,167142,RL13_HUMAN 60S ribosomal protein L13,IP12,Elution,Flag
GAG,P30050,2,165,727880,RL12_HUMAN 60S ribosomal protein L12,IP12,Elution,Flag
GAG,P31943,1,449,68954,HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H,IP12,Elution,Flag
GAG,P32969,1,192,13309,RL9_HUMAN 60S ribosomal protein L9,IP12,Elution,Flag
GAG,P34931,5,641,2016719,HS71L_HUMAN Heat shock 70 kDa protein 1L,IP12,Elution,Flag
GAG,P35527,2,623,363413,"K1C9_HUMAN Keratin, type I cytoskeletal 9",IP12,Elution,Flag
GAG,P36578,1,427,46170,RL4_HUMAN 60S ribosomal protein L4,IP12,Elution,Flag
GAG,P38646,3,679,190937,"GRP75_HUMAN Stress-70 protein, mitochondrial precursor",IP12,Elution,Flag
GAG,P39019,1,145,17266,RS19_HUMAN 40S ribosomal protein S19,IP12,Elution,Flag
GAG,P46777,1,297,27844,RL5_HUMAN 60S ribosomal protein L5,IP12,Elution,Flag
GAG,P46783,2,165,94625,RS10_HUMAN 40S ribosomal protein S10,IP12,Elution,Flag
GAG,P52272,3,730,482156,HNRPM_HUMAN Heterogeneous nuclear ribonucleoprotein M,IP12,Elution,Flag
GAG,P52597,1,415,81700,HNRPF_HUMAN Heterogeneous nuclear ribonucleoprotein F,IP12,Elution,Flag
GAG,P52732,13,1056,1922486,KIF11_HUMAN Kinesin-like protein KIF11,IP12,Elution,Flag
GAG,P52815,1,198,33044,"RM12_HUMAN 39S ribosomal protein L12, mitochondrial precursor",IP12,Elution,Flag
GAG,P60709,1,375,15062,"ACTB_HUMAN Actin, cytoplasmic 1",IP12,Elution,Flag
GAG,P60866,3,119,961424,RS20_HUMAN 40S ribosomal protein S20,IP12,Elution,Flag
GAG,P61247,2,264,171298,RS3A_HUMAN 40S ribosomal protein S3a,IP12,Elution,Flag
GAG,P61254,2,145,230689,RL26_HUMAN 60S ribosomal protein L26,IP12,Elution,Flag
GAG,P62241,1,208,68175,RS8_HUMAN 40S ribosomal protein S8,IP12,Elution,Flag
GAG,P62244,1,130,97708,RS15A_HUMAN 40S ribosomal protein S15a,IP12,Elution,Flag
GAG,P62249,1,146,150621,RS16_HUMAN 40S ribosomal protein S16,IP12,Elution,Flag
GAG,P62263,4,151,734824,RS14_HUMAN 40S ribosomal protein S14,IP12,Elution,Flag
GAG,P62280,2,158,82160,RS11_HUMAN 40S ribosomal protein S11,IP12,Elution,Flag
GAG,P62753,2,249,61435,RS6_HUMAN 40S ribosomal protein S6,IP12,Elution,Flag
GAG,P62857,1,69,69769,RS28_HUMAN 40S ribosomal protein S28,IP12,Elution,Flag
GAG,P62913,2,178,1380608,RL11_HUMAN 60S ribosomal protein L11,IP12,Elution,Flag
GAG,P63173,2,70,204094,RL38_HUMAN 60S ribosomal protein L38,IP12,Elution,Flag
GAG,P67809,4,324,225045,YBOX1_HUMAN Nuclease sensitive element-binding protein 1,IP12,Elution,Flag
GAG,P81605,1,110,30746,DCD_HUMAN Dermcidin precursor,IP12,Elution,Flag
GAG,P83731,1,157,148288,RL24_HUMAN 60S ribosomal protein L24,IP12,Elution,Flag
GAG,P84098,2,196,97533,RL19_HUMAN 60S ribosomal protein L19,IP12,Elution,Flag
GAG,P98175,6,929,2051078,RBM10_HUMAN RNA-binding protein 10,IP12,Elution,Flag
GAG,Q00839,4,824,1019577,HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U,IP12,Elution,Flag
GAG,Q07020,2,188,58657,RL18_HUMAN 60S ribosomal protein L18,IP12,Elution,Flag
GAG,Q08211,2,1270,66838,DHX9_HUMAN ATP-dependent RNA helicase A,IP12,Elution,Flag
GAG,Q13243,2,272,202086,"SFRS5_HUMAN Splicing factor, arginine/serine-rich 5",IP12,Elution,Flag
GAG,Q15208,4,465,779263,STK38_HUMAN Serine/threonine-protein kinase 38,IP12,Elution,Flag
GAG,Q15750,1,504,107239,TAB1_HUMAN Mitogen-activated protein kinase kinase kinase 7-interacting protein 1,IP12,Elution,Flag
GAG,Q7Z2W4,2,902,34666,ZCC2_HUMAN Zinc finger CCCH type antiviral protein 1,IP12,Elution,Flag
GAG,Q99417,1,103,25300,MYCBP_HUMAN C-Myc-binding protein,IP12,Elution,Flag
GAG,Q9BQA1,6,342,3171676,MEP50_HUMAN Methylosome protein 50,IP12,Elution,Flag
GAG,Q9BWJ5,1,86,22696,SF3B5_HUMAN Splicing factor 3B subunit 5,IP12,Elution,Flag
GAG,Q9H3K6,5,86,1132566,BOLA2_HUMAN BolA-like protein 2,IP12,Elution,Flag
GAG,Q9NPD3,1,245,26701,EXOS4_HUMAN Exosome complex exonuclease RRP41,IP12,Elution,Flag
GAG,Q9NQ29,2,371,80228,LUC7L_HUMAN Putative RNA-binding protein Luc7-like 1,IP12,Elution,Flag
GAG,Q9NR30,3,783,387189,DDX21_HUMAN Nucleolar RNA helicase 2,IP12,Elution,Flag
GAG,Q9Y657,1,262,189183,SPIN1_HUMAN Spindlin-1,IP12,Elution,Flag
GP120,28876544,24,511,135888788,NP_579894 gp120_HIV-1,IP12,Elution,Flag
GP120,O00231,2,422,278929,PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11,IP12,Elution,Flag
GP120,O14654,1,1257,9669,IRS4_HUMAN Insulin receptor substrate 4,IP12,Elution,Flag
GP120,O14744,8,637,4612903,ANM5_HUMAN Protein arginine N-methyltransferase 5,IP12,Elution,Flag
GP120,O14967,1,610,47566,CLGN_HUMAN Calmegin precursor,IP12,Elution,Flag
GP120,O15460,1,535,59593,P4HA2_HUMAN Prolyl 4-hydroxylase subunit alpha-2 precursor,IP12,Elution,Flag
GP120,O60613,1,162,66276,SEP15_HUMAN 15 kDa selenoprotein precursor,IP12,Elution,Flag
GP120,O60884,1,412,31409,DNJA2_HUMAN DnaJ homolog subfamily A member 2,IP12,Elution,Flag
GP120,O75688,9,479,3201182,PPM1B_HUMAN Protein phosphatase 1B,IP12,Elution,Flag
GP120,O94905,1,339,38715,ERLN2_HUMAN Erlin-2 precursor,IP12,Elution,Flag
GP120,O95816,1,211,37885,BAG2_HUMAN BAG family molecular chaperone regulator 2,IP12,Elution,Flag
GP120,P02786,1,760,26966,TFR1_HUMAN Transferrin receptor protein 1,IP12,Elution,Flag
GP120,P04264,2,644,124981,"K2C1_HUMAN Keratin, type II cytoskeletal 1",IP12,Elution,Flag
GP120,P04350,19,444,11292915,TBB4_HUMAN Tubulin beta-4 chain,IP12,Elution,Flag
GP120,P04843,3,607,165403,RIB1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit precursor,IP12,Elution,Flag
GP120,P05023,3,1023,116385,AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 precursor,IP12,Elution,Flag
GP120,P05141,3,298,731315,ADT2_HUMAN ADP/ATP translocase 2,IP12,Elution,Flag
GP120,P07237,1,508,69653,PDIA1_HUMAN Protein disulfide-isomerase precursor,IP12,Elution,Flag
GP120,P07437,22,444,10567288,TBB5_HUMAN Tubulin beta chain,IP12,Elution,Flag
GP120,P08107,14,641,6375531,HSP71_HUMAN Heat shock 70 kDa protein 1,IP12,Elution,Flag
GP120,P10606,1,129,38952,"COX5B_HUMAN Cytochrome c oxidase subunit 5B, mitochondrial precursor",IP12,Elution,Flag
GP120,P10809,1,573,137696,"CH60_HUMAN 60 kDa heat shock protein, mitochondrial precursor",IP12,Elution,Flag
GP120,P11021,30,654,29684260,GRP78_HUMAN 78 kDa glucose-regulated protein precursor,IP12,Elution,Flag
GP120,P11142,20,646,8528722,HSP7C_HUMAN Heat shock cognate 71 kDa protein,IP12,Elution,Flag
GP120,P12236,4,298,364159,ADT3_HUMAN ADP/ATP translocase 3,IP12,Elution,Flag
GP120,P13674,1,534,47307,P4HA1_HUMAN Prolyl 4-hydroxylase subunit alpha-1 precursor,IP12,Elution,Flag
GP120,P14314,1,528,51094,GLU2B_HUMAN Glucosidase 2 subunit beta precursor,IP12,Elution,Flag
GP120,P14625,5,803,918798,ENPL_HUMAN Endoplasmin precursor,IP12,Elution,Flag
GP120,P16422,1,314,17278,TACD1_HUMAN Tumor-associated calcium signal transducer 1 precursor,IP12,Elution,Flag
GP120,P16615,2,1042,66363,AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,IP12,Elution,Flag
GP120,P17987,1,556,161799,TCPA_HUMAN T-complex protein 1 subunit alpha,IP12,Elution,Flag
GP120,P23588,1,611,43473,IF4B_HUMAN Eukaryotic translation initiation factor 4B,IP12,Elution,Flag
GP120,P27635,2,214,72785,RL10_HUMAN 60S ribosomal protein L10,IP12,Elution,Flag
GP120,P27824,7,592,1311152,CALX_HUMAN Calnexin precursor,IP12,Elution,Flag
GP120,P28066,1,241,64050,PSA5_HUMAN Proteasome subunit alpha type-5,IP12,Elution,Flag
GP120,P30499,3,366,75299,"1C01_HUMAN HLA class I histocompatibility antigen, Cw-1 alpha chain precursor",IP12,Elution,Flag
GP120,P31689,2,397,180907,DNJA1_HUMAN DnaJ homolog subfamily A member 1,IP12,Elution,Flag
GP120,P34931,7,641,8494032,HS71L_HUMAN Heat shock 70 kDa protein 1L,IP12,Elution,Flag
GP120,P35527,1,623,35617,"K1C9_HUMAN Keratin, type I cytoskeletal 9",IP12,Elution,Flag
GP120,P35908,1,645,84544,"K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal",IP12,Elution,Flag
GP120,P36578,2,427,45825,RL4_HUMAN 60S ribosomal protein L4,IP12,Elution,Flag
GP120,P40939,3,763,243437,"ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial precursor",IP12,Elution,Flag
GP120,P42677,1,84,241115,RS27_HUMAN 40S ribosomal protein S27,IP12,Elution,Flag
GP120,P46379,1,1132,69951,BAT3_HUMAN Large proline-rich protein BAT3,IP12,Elution,Flag
GP120,P46779,1,137,94623,RL28_HUMAN 60S ribosomal protein L28,IP12,Elution,Flag
GP120,P49257,2,510,126317,LMAN1_HUMAN Protein ERGIC-53 precursor,IP12,Elution,Flag
GP120,P49368,2,545,177600,TCPG_HUMAN T-complex protein 1 subunit gamma,IP12,Elution,Flag
GP120,P50991,2,539,132990,TCPD_HUMAN T-complex protein 1 subunit delta,IP12,Elution,Flag
GP120,P51665,2,324,128739,PSD7_HUMAN 26S proteasome non-ATPase regulatory subunit 7,IP12,Elution,Flag
GP120,P52732,8,1056,765773,KIF11_HUMAN Kinesin-like protein KIF11,IP12,Elution,Flag
GP120,P54652,7,639,4857424,HSP72_HUMAN Heat shock-related 70 kDa protein 2,IP12,Elution,Flag
GP120,P55084,1,474,57943,"ECHB_HUMAN Trifunctional enzyme subunit beta, mitochondrial precursor",IP12,Elution,Flag
GP120,P60709,2,375,183294,"ACTB_HUMAN Actin, cytoplasmic 1",IP12,Elution,Flag
GP120,P62195,1,406,24852,PRS8_HUMAN 26S protease regulatory subunit 8,IP12,Elution,Flag
GP120,P62241,1,208,40078,RS8_HUMAN 40S ribosomal protein S8,IP12,Elution,Flag
GP120,P62753,1,249,90183,RS6_HUMAN 40S ribosomal protein S6,IP12,Elution,Flag
GP120,P62829,2,140,142737,RL23_HUMAN 60S ribosomal protein L23,IP12,Elution,Flag
GP120,P62988,3,76,470435,UBIQ_HUMAN Ubiquitin,IP12,Elution,Flag
GP120,P68104,3,462,454483,EF1A1_HUMAN Elongation factor 1-alpha 1,IP12,Elution,Flag
GP120,P68363,16,451,8322976,TBA1B_HUMAN Tubulin alpha-1B chain,IP12,Elution,Flag
GP120,P68371,22,445,8945837,TBB2C_HUMAN Tubulin beta-2C chain,IP12,Elution,Flag
GP120,P78371,2,535,48795,TCPB_HUMAN T-complex protein 1 subunit beta,IP12,Elution,Flag
GP120,P98175,1,929,80491,RBM10_HUMAN RNA-binding protein 10,IP12,Elution,Flag
GP120,Q00839,1,824,91279,HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U,IP12,Elution,Flag
GP120,Q02878,1,288,7923,RL6_HUMAN 60S ribosomal protein L6,IP12,Elution,Flag
GP120,Q07021,2,282,221035,"C1QBP_HUMAN Complement component 1 Q subcomponent-binding protein, mitochondrial precursor",IP12,Elution,Flag
GP120,Q07065,1,602,484583,CKAP4_HUMAN Cytoskeleton-associated protein 4,IP12,Elution,Flag
GP120,Q13200,1,908,28536,PSMD2_HUMAN 26S proteasome non-ATPase regulatory subunit 2,IP12,Elution,Flag
GP120,Q13509,9,450,7321844,TBB3_HUMAN Tubulin beta-3 chain,IP12,Elution,Flag
GP120,Q13885,16,445,9670662,TBB2A_HUMAN Tubulin beta-2A chain,IP12,Elution,Flag
GP120,Q14257,5,317,666710,RCN2_HUMAN Reticulocalbin-2 precursor,IP12,Elution,Flag
GP120,Q14697,3,944,378110,GANAB_HUMAN Neutral alpha-glucosidase AB precursor,IP12,Elution,Flag
GP120,Q14974,1,876,68140,IMB1_HUMAN Importin subunit beta-1,IP12,Elution,Flag
GP120,Q15165,1,354,118733,PON2_HUMAN Serum paraoxonase/arylesterase 2,IP12,Elution,Flag
GP120,Q15208,2,465,463343,STK38_HUMAN Serine/threonine-protein kinase 38,IP12,Elution,Flag
GP120,Q15293,1,331,135459,RCN1_HUMAN Reticulocalbin-1 precursor,IP12,Elution,Flag
GP120,Q3ZCQ8,1,353,116026,"TIM50_HUMAN Import inner membrane translocase subunit TIM50, mitochondrial precursor",IP12,Elution,Flag
GP120,Q8NBJ5,1,622,97110,GT251_HUMAN Glycosyltransferase 25 family member 1 precursor,IP12,Elution,Flag
GP120,Q8TCJ2,2,826,102681,STT3B_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,IP12,Elution,Flag
GP120,Q96JJ7,1,454,62089,TXD10_HUMAN Protein disulfide-isomerase TXNDC10 precursor,IP12,Elution,Flag
GP120,Q96P70,2,1041,77068,IPO9_HUMAN Importin-9,IP12,Elution,Flag
GP120,Q99460,1,953,22433,PSMD1_HUMAN 26S proteasome non-ATPase regulatory subunit 1,IP12,Elution,Flag
GP120,Q99470,2,211,142554,SDF2_HUMAN Stromal cell-derived factor 2 precursor,IP12,Elution,Flag
GP120,Q9BQA1,3,342,460952,MEP50_HUMAN Methylosome protein 50,IP12,Elution,Flag
GP120,Q9BQE3,15,449,7158820,TBA1C_HUMAN Tubulin alpha-1C chain,IP12,Elution,Flag
GP120,Q9BVA1,18,445,9726245,TBB2B_HUMAN Tubulin beta-2B chain,IP12,Elution,Flag
GP120,Q9BVK6,1,214,20872,TMED9_HUMAN Transmembrane emp24 domain-containing protein 9 precursor,IP12,Elution,Flag
GP120,Q9BWJ5,1,86,17627,SF3B5_HUMAN Splicing factor 3B subunit 5,IP12,Elution,Flag
GP120,Q9H3K6,3,86,380448,BOLA2_HUMAN BolA-like protein 2,IP12,Elution,Flag
GP120,Q9HCN8,5,221,1738010,SDF2L_HUMAN Stromal cell-derived factor 2-like protein 1 precursor,IP12,Elution,Flag
GP120,Q9NZ01,1,308,17878,GPSN2_HUMAN Synaptic glycoprotein SC2,IP12,Elution,Flag
GP120,Q9UBS4,5,358,2034285,DJB11_HUMAN DnaJ homolog subfamily B member 11 precursor,IP12,Elution,Flag
GP120,Q9UHW5,2,284,51719,ATPBC_HUMAN ATP-binding domain 1 family member C,IP12,Elution,Flag
GP120,Q9Y241,1,93,23664,HIG1A_HUMAN HIG1 domain family member 1A,IP12,Elution,Flag
GP120,Q9Y4L1,2,999,160962,HYOU1_HUMAN Hypoxia up-regulated protein 1 precursor,IP12,Elution,Flag
GP120,28876544,17,511,63092538,NP_579894 gp120_HIV-1,IP12,Bead,Flag
GP120,O14744,3,637,258517,ANM5_HUMAN Protein arginine N-methyltransferase 5,IP12,Bead,Flag
GP120,O75688,4,479,515771,PPM1B_HUMAN Protein phosphatase 1B,IP12,Bead,Flag
GP120,P01614,1,115,7552000,KV201_HUMAN Ig kappa chain V-II region Cum,IP12,Bead,Flag
GP120,P01892,1,365,7688,"1A02_HUMAN HLA class I histocompatibility antigen, A-2 alpha chain precursor",IP12,Bead,Flag
GP120,P04843,2,607,58687,RIB1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit precursor,IP12,Bead,Flag
GP120,P05141,3,298,106241,ADT2_HUMAN ADP/ATP translocase 2,IP12,Bead,Flag
GP120,P08107,5,641,1296704,HSP71_HUMAN Heat shock 70 kDa protein 1,IP12,Bead,Flag
GP120,P11021,22,654,21953046,GRP78_HUMAN 78 kDa glucose-regulated protein precursor,IP12,Bead,Flag
